"Q1","Q2","Q10","Q11","Q12"
"DCA",1986,"Female","Democrat","I call a lot of airports by their code, not just DCA."
"National",1974,"Female","Democrat","Because that's what it was called when I moved here."
"National",1945,"Female","Democrat",""
"Ronald Reagan",1968,"Male","Republican","honor a great President"
"Ronald Reagan",1989,"Male","Republican","a great name, after a great President!"
"National",1962,"Male","Democrat","I'll never speak the name of that president who fired air traffic controllers. It was a slap in the face to name an airport after him."
"National",1956,"Male","Democrat","National belongs to everyone"
"National",1951,"Male","Independent","habit"
"National",1974,"Male","Independent",""
"Reagan National",1990,"Female","Republican",""
"National",1971,"Male","Democrat",""
"National",1968,"Female","Democrat","It was National, I just never adopted the new name when it changed."
"Reagan",1982,"Male","Democrat",""
"Reagan",1989,"Male","Independent","His statue is on the airport for pete's sake."
"National",1979,"Female","Democrat",""
"Reagan National",1969,"Male","Democrat","Reagan Airport is the closest shorthand to the real name that still acknowledges the Reagan name change."
"National",1952,"Male","Democrat",""
"Reagan",1977,"Female","Democrat",""
"National",1977,"Male","Independent",""
"National",1941,"Male","Democrat","Don't care for the eponym."
"Reagan",1988,"Male","Independent","The airport located in northern Virginia that is not Dulles was introduced to me as ""Reagan National Airport"". As a District resident of four years, I affectionately refer to it now as simply ""Reagan"". "
"National",1979,"Female","Democrat",""
"Reagan National",1977,"Male","Independent",""
"National",1984,"Female","Democrat",""
"National",1961,"Male","Independent",""
"National",1962,"Male","Democrat",""
"National",1975,"Female","Democrat","If I'm speaking, I call it National. If I'm typing, I usually type DCA."
"DCA",1955,"Male","Democrat",""
"National",1977,"Male","Democrat",""
"National",1971,"Male","Democrat",""
"National",1976,"Female","Democrat",""
"Reagan",1991,"Male","Republican",""
"National",1976,"Male","Independent","It is the most concise name for the place"
"National",1972,"Male","Democrat","The renaming was unnecessary"
"National",1972,"Male","Republican","Just have always called it National."
"Reagan",1982,"Female","Democrat",""
"Reagan",1965,"Female","Other",""
"National",1963,"Male","Independent","Reagan did not do anything so great that I would accept this change of name."
"National",1967,"Male","Independent","That was it's name when I moved here and there was no good reason to change it.  I also still refer to the bank with the Stagecoach as Wachovia (better service to customers).  "
"National",1978,"Male","Democrat","Because I'm a democrat. "
"DCA",1987,"Male","Democrat",""
"National",1973,"Male","Democrat","It will always be ""National"""
"National",1983,"Female","Independent",""
"National",1980,"Male","Democrat","The airport was named after George Washington, not the President from California."
"DCA",1979,"Male","Democrat",""
"DCA",1970,"Male","Democrat",""
"National",1973,"Male","Democrat",""
"National",1974,"Female","Democrat","When I moved to DC in 2007, I was told that only tourists call it Reagan. "
"National",1976,"Male","Democrat",""
"National",1967,"Male","Independent",""
"National",1975,"Male","Democrat",""
"National",1976,"Male","Other","Reagan fired all air traffic controllers. He should not have an airport named after him. "
